Date and Time,Underdrain Outflow (cfs),Underdrain Outflow (in/hr),,,
4/28/11 4:36,0.003734408,0.234827383,,4/28/11 3:05,0.24
4/28/11 4:38,0.003962521,0.249171651,,4/28/11 3:06,0.06
4/28/11 4:40,0.003734408,0.234827383,,4/28/11 3:07,0.06
4/28/11 4:42,0.003734408,0.234827383,,4/28/11 3:08,0.06
4/28/11 4:44,0.003442787,0.216489647,,4/28/11 3:09,0.06
4/28/11 4:46,0.003233343,0.203319355,,4/28/11 3:10,0.06
4/28/11 4:48,0.003233343,0.203319355,,4/28/11 3:11,0.06
4/28/11 4:50,0.003031735,0.190641878,,4/28/11 3:12,0.06
4/28/11 4:52,0.002837865,0.178450908,,4/28/11 3:13,0.06
4/28/11 4:54,0.002837865,0.178450908,,4/28/11 3:14,0.06
4/28/11 4:56,0.002591231,0.162942019,,4/28/11 3:15,0.06
4/28/11 4:58,0.002415016,0.151861244,,4/28/11 3:16,0.06
4/28/11 5:00,0.002415016,0.151861244,,4/28/11 3:17,0.06
4/28/11 5:02,0.002032413,0.127802366,,4/28/11 3:18,0.06
4/28/11 5:04,0.001880424,0.118244982,,4/28/11 3:19,0.06
4/28/11 5:06,0.00159743,0.100449718,,4/28/11 3:20,0.06
4/28/11 5:08,0.00159743,0.100449718,,4/28/11 3:21,0.06
4/28/11 5:10,0.001301611,0.08184805,,4/28/11 3:22,0.06
4/28/11 5:12,0.001423948,0.08954081,,4/28/11 3:23,0.06
4/28/11 5:14,0.001301611,0.08184805,,4/28/11 3:24,0.06
4/28/11 5:16,0.001301611,0.08184805,,4/28/11 3:25,0.06
4/28/11 5:18,0.001185808,0.074566101,,4/28/11 3:26,0.12
4/28/11 5:20,0.001185808,0.074566101,,4/28/11 3:27,0.12
4/28/11 5:22,0.001041358,0.065482743,,4/28/11 3:28,0.12
4/28/11 5:24,0.000940325,0.059129601,,4/28/11 3:29,0.12
4/28/11 5:26,0.000940325,0.059129601,,4/28/11 3:30,0.12
4/28/11 5:28,0.000845414,0.053161403,,4/28/11 3:31,0.12
4/28/11 5:30,0.000845414,0.053161403,,4/28/11 3:53,0.24
4/28/11 5:32,0.000756496,0.047570043,,4/28/11 3:54,0.24
4/28/11 5:34,0.000756496,0.047570043,,4/28/11 3:55,0.24
4/28/11 5:36,0.000647032,0.040686743,,4/28/11 3:56,0.84
4/28/11 5:38,0.000647032,0.040686743,,4/28/11 3:57,0.84
4/28/11 5:40,0.00057158,0.035942124,,4/28/11 3:58,0.84
4/28/11 5:42,0.00057158,0.035942124,,4/28/11 3:59,0.84
4/28/11 5:44,0.00057158,0.035942124,,4/28/11 4:00,0.84
4/28/11 5:46,0.000501668,0.031545962,,4/28/11 4:01,0.24
4/28/11 5:48,0.000501668,0.031545962,,4/28/11 4:02,0.24
4/28/11 5:50,0.000501668,0.031545962,,4/28/11 4:03,0.24
4/28/11 5:52,0.000416826,0.026210908,,4/28/11 4:04,0.24
4/28/11 5:54,0.000359283,0.02259248,,4/28/11 4:05,0.24
4/28/11 5:56,0.000359283,0.02259248,,4/28/11 4:06,0.05
4/28/11 5:58,0.000359283,0.02259248,,4/28/11 4:07,0.05
4/28/11 6:00,0.000359283,0.02259248,,4/28/11 4:08,0.05
4/28/11 6:02,0.00025919,0.016298395,,4/28/11 4:09,0.05
4/28/11 6:04,0.00025919,0.016298395,,4/28/11 4:10,0.05
